                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2031,                 1.6557,                0.83218,                0.19215,                0.26741,                0.21032,                0.13536,                 1.0494,                    inf,                0.81027,             0.00040598,             0.00040598,             0.00040598
                      2,                 1.2004,                0.75058,                0.81626,                0.28106,                0.32826,                0.21018,                0.12341,                 1.1144,                 7.5819,                0.83278,             0.00081451,             0.00081451,             0.00081451
                      3,                 1.3777,                0.75316,                0.82896,                0.69047,                 0.3531,                 0.4313,                0.24408,                 1.2564,                 1.0761,                0.83023,              0.0012148,              0.0012148,              0.0012148
                      4,                 1.2999,                0.70145,                0.82141,                0.69987,                0.65191,                0.68226,                0.43005,                 1.0824,                0.63921,                  0.811,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.1899,                0.65648,                0.81181,                0.67231,                0.58394,                0.64304,                0.35704,                 1.1911,                0.79723,                0.82125,              0.0012129,              0.0012129,              0.0012129
                      6,                 1.0875,                0.59012,                0.80682,                0.83029,                0.65226,                0.72094,                0.43571,                0.99549,                0.54846,                0.80397,              0.0012005,              0.0012005,              0.0012005
                      7,                  1.068,                0.58893,                0.80188,                0.84921,                0.60378,                0.74186,                0.46284,                 1.0258,                 0.6004,                0.80904,              0.0011881,              0.0011881,              0.0011881
                      8,                 1.0585,                0.55502,                0.79959,                0.83108,                0.64007,                0.75829,                0.45003,                0.98194,                0.50505,                0.81001,              0.0011757,              0.0011757,              0.0011757
                      9,                 1.0567,                0.54106,                0.80024,                0.84609,                0.68519,                0.74806,                0.46065,                0.98892,                 0.4972,                0.80613,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.0477,                0.52282,                0.79806,                0.82549,                0.70139,                0.75628,                0.48634,                0.91318,                0.45957,                0.80338,               0.001151,               0.001151,               0.001151
                     11,                0.98359,                0.49366,                0.79511,                0.88673,                0.67611,                0.76184,                0.49783,                0.89549,                0.45999,                 0.7997,              0.0011386,              0.0011386,              0.0011386
                     12,                0.98293,                0.50831,                0.79454,                0.89548,                0.71122,                 0.7723,                0.48058,                0.94501,                0.45676,                0.80218,              0.0011263,              0.0011263,              0.0011263
                     13,                0.98866,                0.50645,                0.79784,                0.88774,                0.70302,                0.77267,                 0.4971,                0.89539,                0.46069,                0.80256,              0.0011139,              0.0011139,              0.0011139
                     14,                0.96046,                 0.4788,                0.79437,                0.91877,                0.66118,                0.74174,                0.47768,                0.86993,                0.45751,                0.80047,              0.0011015,              0.0011015,              0.0011015
                     15,                 0.9602,                0.47481,                0.79319,                0.85252,                0.74471,                0.77208,                0.51072,                0.88322,                0.43435,                0.80068,              0.0010891,              0.0010891,              0.0010891
                     16,                0.94077,                0.45831,                0.79099,                0.91249,                0.73685,                0.81174,                0.52124,                0.88915,                0.44378,                0.79813,              0.0010768,              0.0010768,              0.0010768
                     17,                0.96042,                 0.4646,                 0.7908,                0.82865,                0.72395,                0.75074,                0.51323,                0.87952,                0.45762,                0.79948,              0.0010644,              0.0010644,              0.0010644
                     18,                0.94715,                0.45975,                 0.7906,                0.91878,                0.71805,                0.80042,                0.51627,                 0.9257,                0.44213,                 0.7994,               0.001052,               0.001052,               0.001052
                     19,                0.94457,                0.46265,                0.79138,                 0.9074,                0.74298,                0.80605,                0.53178,                0.86503,                0.43134,                0.79763,              0.0010396,              0.0010396,              0.0010396
                     20,                0.91514,                0.44534,                 0.7883,                0.94184,                0.71657,                0.80933,                0.54705,                0.81981,                 0.4199,                0.79373,              0.0010273,              0.0010273,              0.0010273
                     21,                0.89816,                0.43936,                0.78896,                0.89323,                0.74207,                0.80722,                0.53108,                0.86457,                0.43417,                0.79962,              0.0010149,              0.0010149,              0.0010149
                     22,                0.93114,                0.45385,                0.79033,                0.86553,                0.73543,                0.79807,                0.52338,                0.88465,                0.43185,                0.79788,              0.0010025,              0.0010025,              0.0010025
                     23,                0.92384,                 0.4419,                0.79088,                  0.917,                0.71744,                0.78481,                0.52552,                0.86109,                0.42596,                0.79606,             0.00099013,             0.00099013,             0.00099013
                     24,                0.91438,                0.44052,                0.78856,                0.91416,                 0.7333,                0.79375,                0.52903,                  0.837,                0.43719,                0.79672,             0.00097775,             0.00097775,             0.00097775
                     25,                0.88347,                0.42665,                0.78824,                0.81552,                0.75846,                0.79186,                0.54182,                0.90687,                0.43367,                 0.8006,             0.00096537,             0.00096537,             0.00096537
                     26,                0.88949,                 0.4379,                0.78726,                0.87758,                0.75419,                0.81646,                0.55796,                0.81067,                0.40511,                0.79558,               0.000953,               0.000953,               0.000953
                     27,                0.87625,                0.42093,                0.78495,                0.86882,                0.71068,                0.79106,                0.53424,                0.84095,                0.40256,                0.79634,             0.00094062,             0.00094062,             0.00094062
                     28,                0.85814,                0.40999,                 0.7865,                0.83255,                0.73801,                0.78423,                0.53344,                0.82979,                0.38918,                0.79514,             0.00092825,             0.00092825,             0.00092825
                     29,                0.90043,                0.42382,                0.78446,                0.89244,                0.75514,                0.80949,                0.54095,                0.84513,                0.39887,                0.79702,             0.00091588,             0.00091588,             0.00091588
                     30,                0.86839,                0.41479,                0.78615,                0.89547,                0.76621,                0.82765,                 0.5671,                0.79941,                0.39389,                  0.793,              0.0009035,              0.0009035,              0.0009035
                     31,                0.85576,                0.41643,                0.78532,                0.93665,                0.71157,                0.78447,                0.53686,                0.85727,                0.40557,                0.79591,             0.00089112,             0.00089112,             0.00089112
                     32,                0.87187,                0.42249,                0.78699,                 0.7907,                0.75986,                0.74949,                0.50957,                0.84725,                0.43862,                0.79709,             0.00087875,             0.00087875,             0.00087875
                     33,                0.87907,                0.42913,                0.78624,                0.88855,                0.72104,                0.79352,                  0.545,                0.81923,                0.41336,                0.79406,             0.00086637,             0.00086637,             0.00086637
                     34,                0.85454,                0.41145,                0.78689,                0.89638,                0.73603,                0.81835,                0.55345,                0.82698,                0.39848,                0.79619,               0.000854,               0.000854,               0.000854
                     35,                0.88498,                0.42677,                0.78734,                 0.8784,                0.72795,                0.80253,                0.53867,                0.86731,                0.45899,                0.79604,             0.00084162,             0.00084162,             0.00084162
                     36,                0.87242,                0.43227,                0.78854,                 0.9041,                0.72269,                0.80332,                0.53604,                 0.8325,                0.40682,                0.79596,             0.00082925,             0.00082925,             0.00082925
                     37,                0.85525,                0.41544,                0.78786,                0.89057,                0.74738,                0.80178,                0.52575,                0.84741,                0.41289,                0.79815,             0.00081688,             0.00081688,             0.00081688
                     38,                0.83442,                0.40098,                 0.7853,                0.88632,                0.75796,                0.82302,                0.56998,                0.79818,                0.40129,                0.79292,              0.0008045,              0.0008045,              0.0008045
                     39,                0.84701,                0.40556,                 0.7833,                0.90853,                0.76576,                0.82289,                0.54997,                0.86566,                0.40591,                0.79875,             0.00079213,             0.00079213,             0.00079213
                     40,                0.83502,                  0.399,                0.78461,                0.90105,                0.74139,                 0.8049,                0.53476,                0.81472,                0.39893,                0.79474,             0.00077975,             0.00077975,             0.00077975
                     41,                0.85144,                 0.4062,                0.78364,                0.80315,                 0.7807,                0.81891,                 0.5569,                0.76067,                0.38574,                0.79049,             0.00076738,             0.00076738,             0.00076738
                     42,                0.80969,                0.38413,                0.78342,                0.92507,                0.72904,                0.81489,                0.56557,                0.77781,                0.38127,                0.79085,               0.000755,               0.000755,               0.000755
                     43,                0.82953,                0.38904,                0.78324,                 0.9343,                0.70716,                0.79194,                0.55224,                0.78519,                0.39502,                0.79093,             0.00074263,             0.00074263,             0.00074263
                     44,                0.81059,                0.38091,                0.78181,                0.91932,                0.75452,                0.84392,                0.56174,                0.83973,                0.38918,                0.80019,             0.00073025,             0.00073025,             0.00073025
                     45,                0.82136,                0.39086,                0.78272,                0.86442,                0.77146,                0.81881,                 0.5497,                0.79473,                0.38332,                0.79201,             0.00071788,             0.00071788,             0.00071788
                     46,                0.82173,                0.38719,                 0.7818,                0.92673,                0.76098,                0.81329,                0.55218,                0.78456,                0.38474,                0.79253,              0.0007055,              0.0007055,              0.0007055
                     47,                0.81976,                0.38485,                0.78277,                 0.9126,                0.74108,                0.80984,                0.55918,                0.78298,                0.38741,                0.79131,             0.00069313,             0.00069313,             0.00069313
                     48,                 0.7901,                0.37381,                0.78339,                0.87772,                 0.7263,                0.79105,                0.55162,                 0.7617,                0.37431,                0.79151,             0.00068075,             0.00068075,             0.00068075
                     49,                 0.7859,                0.36913,                0.78167,                0.91798,                0.70515,                0.81131,                0.56067,                0.77818,                0.38803,                0.79317,             0.00066838,             0.00066838,             0.00066838
                     50,                0.81265,                 0.3866,                  0.781,                0.92242,                0.74152,                0.82827,                0.55876,                0.79265,                0.39165,                0.79294,               0.000656,               0.000656,               0.000656
                     51,                0.78609,                0.37765,                0.78264,                0.91872,                 0.7434,                0.81676,                0.54727,                0.79695,                0.38935,                0.79552,             0.00064362,             0.00064362,             0.00064362
                     52,                 0.7876,                0.37523,                0.78248,                0.82469,                0.72591,                  0.783,                0.53887,                0.81958,                0.39689,                0.79525,             0.00063125,             0.00063125,             0.00063125
                     53,                0.82207,                 0.3906,                0.78307,                0.87487,                0.75347,                0.80541,                0.56306,                0.79207,                0.38301,                0.79257,             0.00061887,             0.00061887,             0.00061887
                     54,                0.79784,                0.37288,                0.77837,                 0.9288,                0.70621,                0.82117,                 0.5574,                0.76435,                0.38492,                0.79114,              0.0006065,              0.0006065,              0.0006065
                     55,                0.77385,                0.36655,                 0.7817,                 0.9113,                0.73534,                0.82714,                0.56876,                0.74887,                 0.3598,                0.79107,             0.00059413,             0.00059413,             0.00059413
                     56,                 0.7867,                0.36806,                0.78145,                0.89905,                0.74991,                0.82641,                0.54408,                0.86265,                0.38859,                0.79502,             0.00058175,             0.00058175,             0.00058175
                     57,                0.79644,                0.36978,                0.77827,                0.91409,                0.77706,                  0.839,                0.58775,                0.74599,                0.36187,                0.79076,             0.00056938,             0.00056938,             0.00056938
                     58,                0.74719,                0.34873,                0.77796,                0.89071,                0.72064,                0.81421,                0.56459,                0.76336,                0.38414,                0.79003,               0.000557,               0.000557,               0.000557
                     59,                0.75281,                0.35572,                0.77895,                0.89986,                0.75694,                0.82834,                0.58005,                 0.7636,                0.37045,                0.79184,             0.00054463,             0.00054463,             0.00054463
                     60,                0.74118,                0.35121,                0.77943,                0.90269,                0.76504,                0.82061,                0.57075,                0.77097,                0.37179,                0.79198,             0.00053225,             0.00053225,             0.00053225
                     61,                0.78556,                0.36648,                0.77901,                0.87531,                 0.7244,                 0.7961,                 0.5472,                0.81052,                0.38749,                0.79341,             0.00051988,             0.00051988,             0.00051988
                     62,                0.78162,                0.36979,                0.78065,                0.91707,                0.74987,                0.82176,                   0.56,                0.76722,                0.37236,                0.79141,              0.0005075,              0.0005075,              0.0005075
                     63,                0.75525,                0.35228,                0.77804,                0.94291,                0.74389,                0.82255,                0.58662,                0.76603,                0.36238,                 0.7912,             0.00049513,             0.00049513,             0.00049513
                     64,                 0.7508,                0.35054,                0.77749,                0.90337,                0.73224,                0.82145,                 0.5684,                 0.7644,                0.36927,                0.79064,             0.00048275,             0.00048275,             0.00048275
                     65,                0.72124,                0.34105,                0.77698,                0.89068,                0.71882,                0.80737,                0.57752,                0.74346,                0.36929,                 0.7905,             0.00047038,             0.00047038,             0.00047038
                     66,                0.72614,                0.34422,                0.77739,                0.94799,                0.72861,                 0.8233,                0.56948,                0.78425,                0.37297,                0.79132,               0.000458,               0.000458,               0.000458
                     67,                0.73789,                0.34754,                0.77769,                0.84028,                0.75362,                0.81214,                0.56767,                0.77365,                0.36144,                0.79144,             0.00044563,             0.00044563,             0.00044563
                     68,                0.72873,                0.34317,                0.77729,                 0.8651,                0.75235,                0.81785,                0.56935,                0.76279,                0.36725,                0.79135,             0.00043325,             0.00043325,             0.00043325
                     69,                0.72618,                0.34216,                0.77869,                0.89767,                0.71882,                0.79936,                0.56122,                0.77263,                0.36552,                0.79272,             0.00042087,             0.00042087,             0.00042087
                     70,                0.70924,                 0.3328,                0.77857,                0.86422,                0.72542,                0.78883,                0.56401,                0.75674,                0.36636,                0.79119,              0.0004085,              0.0004085,              0.0004085
                     71,                 0.7209,                0.34124,                 0.7777,                0.92846,                0.73603,                0.84183,                 0.5824,                0.74929,                0.35888,                0.79051,             0.00039613,             0.00039613,             0.00039613
                     72,                0.72187,                0.33916,                0.77472,                0.92085,                0.74366,                0.82777,                0.56513,                0.79613,                0.37322,                0.79281,             0.00038375,             0.00038375,             0.00038375
                     73,                0.71575,                0.33772,                0.77855,                0.92085,                0.77016,                0.82557,                0.58969,                0.77205,                0.36143,                 0.7903,             0.00037138,             0.00037138,             0.00037138
                     74,                 0.7278,                0.33692,                0.77741,                0.91404,                0.76428,                0.83875,                0.57537,                0.76392,                0.36062,                0.78964,               0.000359,               0.000359,               0.000359
                     75,                0.71018,                0.32749,                0.77716,                 0.9005,                0.76387,                0.83394,                0.59277,                 0.7482,                0.35735,                0.78951,             0.00034663,             0.00034663,             0.00034663
                     76,                0.70043,                0.32399,                0.77505,                0.94076,                0.75503,                0.83313,                0.58422,                0.75907,                0.35705,                0.79186,             0.00033425,             0.00033425,             0.00033425
                     77,                0.69441,                0.32039,                0.77496,                0.91228,                0.73692,                 0.8104,                0.57483,                0.73606,                0.35443,                0.79034,             0.00032188,             0.00032188,             0.00032188
                     78,                0.69879,                0.32378,                0.77401,                0.93771,                0.74666,                0.83141,                0.60038,                0.74791,                 0.3554,                0.78962,              0.0003095,              0.0003095,              0.0003095
                     79,                0.68206,                0.32083,                0.77464,                0.94671,                0.76295,                0.82364,                0.58833,                0.74094,                0.35426,                0.79039,             0.00029713,             0.00029713,             0.00029713
                     80,                0.69149,                0.32281,                0.77381,                0.93791,                0.76587,                0.83774,                0.57807,                0.73319,                0.34986,                0.79007,             0.00028475,             0.00028475,             0.00028475
                     81,                0.68168,                0.31942,                0.77598,                0.92215,                0.75387,                0.81695,                0.57786,                 0.7413,                0.34747,                 0.7909,             0.00027237,             0.00027237,             0.00027237
                     82,                0.67577,                0.31698,                 0.7758,                0.84466,                0.72893,                0.80726,                0.56375,                0.76148,                0.35548,                0.79085,                0.00026,                0.00026,                0.00026
                     83,                 0.6932,                  0.322,                0.77581,                0.89617,                0.76286,                0.82428,                0.57797,                0.73558,                0.34952,                0.79016,             0.00024762,             0.00024762,             0.00024762
                     84,                0.67208,                0.31479,                0.77303,                0.92836,                0.73683,                0.83048,                0.58605,                0.73004,                 0.3461,                0.78984,             0.00023525,             0.00023525,             0.00023525
                     85,                0.67674,                0.31133,                 0.7746,                0.93553,                0.73905,                0.83877,                0.58924,                0.73936,                0.35224,                0.78981,             0.00022288,             0.00022288,             0.00022288
                     86,                0.65384,                0.30615,                0.77467,                0.89287,                0.74272,                0.81523,                0.58367,                0.72952,                0.34842,                 0.7899,              0.0002105,              0.0002105,              0.0002105
                     87,                0.65345,                0.30799,                0.77258,                0.88856,                0.72509,                0.82172,                0.58771,                0.73841,                0.34665,                0.78966,             0.00019813,             0.00019813,             0.00019813
                     88,                0.67338,                0.30781,                0.77337,                0.89926,                0.73021,                0.84058,                0.58051,                0.74833,                0.34647,                0.79083,             0.00018575,             0.00018575,             0.00018575
                     89,                0.65102,                0.30642,                0.77259,                0.95123,                0.73279,                0.83055,                0.59244,                0.73588,                 0.3463,                 0.7908,             0.00017338,             0.00017338,             0.00017338
                     90,                0.65105,                 0.3039,                0.77291,                0.94101,                0.74117,                 0.8513,                0.56631,                 0.7652,                 0.3492,                 0.7911,               0.000161,               0.000161,               0.000161
                     91,                0.62028,                0.30213,                0.77211,                 0.9369,                0.72661,                0.84422,                0.57871,                0.77043,                 0.3462,                0.79008,             0.00014862,             0.00014862,             0.00014862
                     92,                0.59793,                0.29519,                0.77171,                0.93831,                0.74098,                0.83679,                0.57893,                0.75026,                0.34967,                0.79058,             0.00013625,             0.00013625,             0.00013625
                     93,                 0.6048,                0.29589,                0.77042,                0.94487,                0.73171,                0.83639,                0.59235,                0.74571,                0.35107,                0.79085,             0.00012387,             0.00012387,             0.00012387
                     94,                0.58083,                0.28625,                0.77247,                0.94524,                0.73924,                0.85436,                0.59285,                0.72684,                0.34545,                0.78906,              0.0001115,              0.0001115,              0.0001115
                     95,                0.58468,                0.28838,                0.77454,                0.92622,                0.75388,                0.83423,                0.58787,                0.73154,                0.34933,                0.78957,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.58394,                0.28715,                0.76932,                0.88726,                 0.7471,                0.83236,                0.58106,                0.73611,                0.34812,                0.78941,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.58475,                 0.2846,                0.77138,                0.90437,                0.74805,                0.83027,                0.58706,                0.73837,                0.34928,                0.79027,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.57411,                0.28355,                0.76732,                0.92205,                0.74058,                0.82874,                0.58273,                0.73747,                0.34585,                0.78977,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                 0.5683,                0.27761,                0.77084,                0.90967,                0.74697,                 0.8287,                0.57936,                 0.7272,                0.34224,                0.78951,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.56717,                0.27451,                0.76826,                0.92282,                0.74957,                 0.8324,                0.57657,                0.72949,                0.34448,                0.78946,              3.725e-05,              3.725e-05,              3.725e-05
